id,language,Sentence,Score,
1048,eng,Enjoy your meal!,5,
1049,eng,There's no love without jealousy.,5,
1050,eng,No love is foul nor prison fair.,5,
1051,eng,There was not a bloody soul.,5,
1052,eng,We are cut from the same cloth.,4.6,
1053,eng,The walls have ears.,4.4,
1054,eng,I've got a frog in my throat.,4.4,
1055,eng,Make yourself at home.,3.6,
1056,eng,Nothing great has been achieved by playing it safe.,4,
1057,eng,"In general, little is known about nonlinear second order differential equations.",3.5,
1058,eng,Mali is one of the poorest countries in Subsaharan Africa.,3.6,
1059,eng,At this stage there is still not a clear energy policy for bringing decentralised power to rural areas.,3.7,
1060,eng,Why aren't you coming with us?,1.7,
1061,eng,I can't say the opposite.,3.9,
1062,eng,Why are you telling me about hippos all of the sudden? I don't see the connection between that and your twelve red goldfishes.,3.7,
1063,eng,"Don't listen to him, he's talking nonsense.",4.5,
1064,eng,You can't get lost in big cities; there are maps everywhere!,4.8,
1065,eng,"We are sorry, the person you are trying to contact is not available.",3.5,
1066,eng,I don't want it anymore.,4.6,
1067,eng,He came several times.,5,
1068,eng,We wonder why.,4,
1069,eng,We must think about friends.,4.2,
1070,eng,I'm going to take a bath.,3.5,
1071,eng,"It was raining when we left, but by the time we arrived, it was sunny.",4.2,
1072,eng,We left by train.,4.1,
1073,eng,"If you eat too much, you'll become fat.",4.9,
1074,eng,I don't know if he would have done it for me.,1.5,
1075,eng,Would you like to come?,2,
1076,eng,I knew he would accept.,5,
1077,eng,She would willingly come but she was on vacation.,3.1,
1078,eng,I thought it was true.,1.3,
1079,eng,This is the town I told you about.,3.7,
1080,eng,This is the boy I think about.,4.6,
1081,eng,He has been warned on several occasions.,4,
1082,eng,I have to give back the book before Saturday.,3.3,
1083,eng,We tried so hard to make things better for our kids that we made them worse.,2.4,
1084,eng,"Hi, I just wanted to let you know that the problem is fixed.",4,
1085,eng,How can you have a laptop and not a cell phone?,2,
1086,eng,I went to drink a beer with friends.,3.5,
1087,eng,He jumped out the window.,3.9,
1088,eng,Yesterday we had fun.,4.1,
1089,eng,They quarreled.,4,
1090,eng,I ate caviar.,4,
1091,eng,He changed a lot since the last time.,4.2,
1092,eng,This knife was very useful to me.,4.8,
1093,eng,You took the wrong key.,5,
1094,eng,I managed to get in.,4,
1095,eng,How much is it?,2,
1096,eng,I'll bring you the bill immediately.,5,
1097,eng,Here is your change.,3.4,
1098,eng,I'll pay by cheque.,4,
1099,eng,Did you leave a tip?,2.5,
1100,eng,Don't forget the ticket.,3.8,
1101,eng,"I'm sorry, I don't have change.",3.5,
1102,eng,The situation is worse than we believed.,4.3,
1103,eng,We have to expect the worst.,4.6,
1104,eng,They don't even know why.,4,
1105,eng,I want you to tell me the truth.,5,
1106,eng,You arrived at the moment I left.,3.5,
1107,eng,Muiriel likes to annoy me lately.,3.6,
1108,eng,"It's not serious, I don't bear him a grudge.",3.7,
1109,eng,Who is coming with me?,2,
1110,eng,I want to know who is coming with us.,3.9,
1111,eng,Florence is the most beautiful city in Italy.,4,
1112,eng,"On your feet, children!",5,
1113,eng,I talked to friends.,3.8,
1114,eng,The film started at 2 o'clock.,3.4,
1115,eng,This girl changed her look.,4,
1116,eng,The film lasted 2 hours.,4,
1117,eng,I'm glad to see you back.,4,
1118,eng,You changed a lot.,4,
1119,eng,Those who know him like him.,3.7,
1120,eng,Tell me what happened.,5,
1121,eng,They are sensible girls.,5,
1122,eng,How beautiful you are!,5,
1123,eng,It's easier to have fun than to work.,3.9,
1124,eng,You must work more.,5,
1125,eng,It's more difficult than you think.,4.5,
1126,eng,He told me he would go to Venice.,2.6,
1127,eng,Who are those guys?,1.7,
1128,eng,I don't agree with him.,5,
1129,eng,"The spirit is willing, but the flesh is weak.",4,
1130,eng,There's quite a lot of things to do; do you want some help?,2.4,
1131,eng,It seems to me that the train is late.,3.8,
1132,eng,He learned the news while reading the newspaper.,4,
1133,eng,I don't know if I'll have time to do it.,1.2,
1134,eng,Ask Trang if he's going out this evening.,3.2,
1135,eng,She's got a fair complexion while her brother is very dark.,4.5,
1136,eng,"In a town you may pass unnoticed, whereas in a village it's impossible.",3.5,
1137,eng,Who said that? It's totally wrong!,4.5,
1138,eng,"When I was a child, I would spend hours reading alone in my room.",3.2,
1139,eng,Wolves won't usually attack people.,2.3,
1140,eng,Can somebody help me?,1.1,
1141,eng,Please will you close the door when you go out.,3.8,
1142,eng,You've given me your cold.,4.3,
1143,eng,"Ah! If I were rich, I'd buy myself a house in Spain.",4.2,
1144,eng,I wish she would stop playing that stupid music.,4,
1145,eng,I hope he'll be able to come! I'd like to see him.,3.9,
1146,eng,They will never accept; it's too far.,4.5,
1147,eng,Her garden is a work of art.,5,
1148,eng,I'd rather be a bird than a fish.,5,
1149,eng,"Water freezes at zero degrees Celsius, doesn't it?",2,
1150,eng,"If you take care of the small things, the big things will take care of themselves.",3.8,
1151,eng,"Every man's work, whether it be literature or music or a picture or architecture or anything else, is always a portrait of himself.",4,
1152,eng,"When we seek to discover the best in others, we somehow bring out the best in ourselves.",4.3,
1153,eng,Forget it. It's not worth it.,4.4,
1154,eng,We're going to eat a lot tonight so I hope you're not on a diet.,4.2,
1155,eng,For once in my life I'm doing a good deed... And it is useless.,2.2,
1156,eng,You need not telephone me.,4.1,
1157,eng,Brian repeatedly told Chris that he owed him a pretty large amount of money.,4.6,
1158,eng,How dare you say such a thing to me?,4.3,
1159,eng,You ask me to do the impossible.,3.3,
1160,eng,I brought you a little something.,3,
1161,eng,You are no better at remembering things than I am.,3.6,
1162,eng,You are as tall as I am.,3,
1163,eng,You have the same racket as I have.,3,
1164,eng,She has as many books as I.,3,
1165,eng,We have to take him to the hospital immediately; he is seriously injured!,5,
1166,eng,Go and speak to my colleague.,5,
1167,eng,Tell me about it!,5,
1168,eng,Let's not be in too much of a hurry.,3.7,
1169,eng,Does it also work without registration?,1.6,
1170,eng,In which folder did you save the file?,2,
1171,eng,"I heard a cotton candy shop has just opened. Let's go, dudes.",5,
1172,eng,Maria has long hair.,4,
1173,eng,You don't have to come tomorrow.,4.9,
1174,eng,I have to take medicine.,5,
1175,eng,Please do not take photos here.,4,
1176,eng,Nara is a quiet and beautiful city.,5,
1177,eng,I'm taking a walk in a park.,5,
1178,eng,My hobby is to listen to music.,4.3,
1179,eng,"If you are free, give me a hand.",3.8,
1180,eng,I work even on Sunday.,5,
1181,eng,He's not working much at the moment.,4.6,
1182,eng,It happened a long time ago.,4.5,
1183,eng,Where have you been?,2,
1184,eng,Here comes the bride!,5,
1185,eng,What have you been doing all this time!,5,
1186,eng,It's been snowing all night.,5,
1187,eng,It's been ten years since we last met.,4.4,
1188,eng,"If you don't want to stay alone, I can keep you company.",3.7,
1189,eng,How come you know so much about Japanese history?,1.9,
1190,eng,"Could you turn on the light, please?",2.8,
1191,eng,She's selling drugs at concerts.,5,
1192,eng,Turn right at the crossroad.,5,
1193,eng,I buried my dog at the pet cemetery.,2.8,
1194,eng,They forgot to lock the door.,3.9,
1195,eng,Even plastic surgery won't do anything for your ugliness.,5,
1196,eng,"He was born on July 28th, 1888.",4,
1197,eng,Will you listen to me for a few minutes?,2.4,
1198,eng,If you will come this way...,4.4,
1199,eng,How did your interview go?,1.8,
1200,eng,He's moving in with his girlfriend.,4,
1201,eng,I'm going to sit on the bench over there next to the street lamp.,5,
1202,eng,I have to write a letter. Do you have some paper?,2,
1203,eng,Could you do me a favour please?,2,
1204,eng,"No, I'm not mad at you, I'm just disappointed.",5,
1205,eng,She is mad at me.,5,
1206,eng,I can't believe my eyes.,2.5,
1207,eng,I couldn't say when exactly in my life it occurred to me that I would be a pilot someday.,1.5,
1208,eng,"An eye for an eye, a tooth for a tooth.",5,
1209,eng,She has always done her best to make their life easier.,5,
1210,eng,I've got mosquito bites all over my arm.,4.6,
1211,eng,During winter I sleep with two blankets.,5,
1212,eng,Do you have any siblings?,2,
1213,eng,Her eyes were shining with joy.,4.6,
1214,eng,You are to come with me.,5,
1215,eng,You have to come with me.,5,
1216,eng,Are you angry at what I said?,1.4,
1217,eng,Can you justify the use of violence?,1.3,
1218,eng,"You are a busy man, so I will adjust myself to your schedule.",2.9,
1219,eng,You are supposed to obey the law.,2.9,
1220,eng,Can you do bookkeeping?,2.5,
1221,eng,You have no sense of direction.,4.8,
1222,eng,You must practice grammar.,5,
1223,eng,You had better go to the infirmary.,3.8,
1224,eng,You should know better than to ask a lady her age.,4.3,
1225,eng,You shouldn't do things by halves.,4.4,
1226,eng,You should pay your rent in advance.,4.2,
1227,eng,You must keep your room clean.,4.5,
1228,eng,You must take off your hat in the room.,4.7,
1229,eng,You are wavering.,5,
1230,eng,Have you ever climbed Mt. Fuji?,1.6,
1231,eng,Your undaunted spirit will carry you through.,4.5,
1232,eng,You should take care of your sick mother.,3.8,moneky
1233,eng,You have to learn standard English.,5,
1234,eng,You have bought more postage stamps than are necessary.,4.6,
1235,eng,You are not at all wrong.,5,
1236,eng,Have you ever traveled in a plane?,1.6,
1237,eng,I have a feeling you'll be a very good lawyer.,4.2,
1238,eng,You are idle to the bone.,4.8,
1239,eng,Can you keep a secret?,1.8,
1240,eng,"Since you look tired, you had better take a rest.",4.6,
1241,eng,"Now that you are tired, you'd better rest.",4.8,
1242,eng,"You are tired, and so am I.",5,
1243,eng,"You are tired, aren't you?",2.8,
1244,eng,Are you not tired?,1.4,
1245,eng,You look tired. You ought to rest for an hour or two.,3.9,
1246,eng,You are too sensitive to criticism.,5,
1247,eng,You can rely on him.,5,
1248,eng,You can rely on her.,5,
1249,eng,"You must help her, and soon!",4.9,
1250,eng,You must not take advantage of her innocence.,4.9,
1251,eng,You should have acted on her advice.,4.3,
1252,eng,You are treading on her corns.,4.9,
1253,eng,I think that you ought to apologize to her.,3.8,
1254,eng,"You must apologize to her, and that at once.",5,
1255,eng,Just a minute.,5,
1256,eng,You asked after her? What did she say?,1.2,
1257,eng,You are expecting too much of her.,4.5,
1258,eng,Did you meet her?,1.2,
1259,eng,Do you want to see her very much?,1.1,
1260,eng,Did you fall in love with her at first sight?,1.5,
1261,eng,You were taken in by her.,4.6,
1262,eng,You told her that you had finished the work three days before.,3.9,
1263,eng,"Unlike her, you are diligent.",4.2,
1264,eng,You are not less pretty than her.,4.8,
1265,eng,When did you see her dancing with him?,2,
1266,eng,You'll come to like her.,3.7,
1267,eng,Are you aware of how much she loves you?,2.8,
1268,eng,I think you had better call on him.,3.9,
1269,eng,You must be careful not to make him angry.,4.6,
1270,eng,You must give him up for dead.,4.9,
1271,eng,You needn't have seen him to the door.,4.3,
1272,eng,You shouldn't look down on him.,4.6,
1273,eng,You are selling him short.,4.7,
1274,eng,You had better keep him at a respectful distance.,4.2,
1275,eng,You must not look upon him as great.,4.4,
1276,eng,You're required to help them.,4.5,
1277,eng,Are you younger than him?,1.6,
1278,eng,All that you have to do is to wait for his reply.,4,
1279,eng,You must take his age into account.,3.9,
1280,eng,Are you for or against his idea?,1.9,
1281,eng,You must pay attention to his advice.,4.7,
1282,eng,You should have accepted his advice.,4.3,
1283,eng,You may as well follow his advice.,4.1,
1284,eng,You may make use of his library.,3.8,
1285,eng,All you have to do is follow his advice.,4.1,
1286,eng,All that you have to do is to follow his advice.,4.2,
1287,eng,You must allow for his youth.,4.6,
1288,eng,You should have helped him with his work.,4.6,
1289,eng,You should pay more attention to what he says.,4.3,
1290,eng,You must pay attention to him.,4.5,
1291,eng,You should pay more attention to his warnings.,4.8,
1292,eng,You ought to have adopted his plan.,3.7,
1293,eng,You must make allowance for his lack of experience.,4.4,
1294,eng,It's better to ignore his eccentricities.,4.3,
1295,eng,You should not play on his generous nature.,4.9,
1296,eng,You had better not play on his generous nature.,5,
1297,eng,You overestimate him.,5,
1298,eng,You can depend on his help.,5,
1299,eng,Did you accept his statement as true?,2.9,
1300,eng,You should have told him the truth.,4.5,
1301,eng,You must compensate him for the money he lost.,4.9,
1302,eng,You can't expect much of him.,4.6,
1303,eng,You should tell him the truth.,3.8,
1304,eng,You had better tell him the truth.,4.2,
1305,eng,You ought to ask him for advice.,4.3,
1306,eng,It would be better for you not to ask him for advice.,4.7,
1307,eng,Didn't you write a letter to him?,1.4,
1308,eng,You need only ask him to pay the debt.,4.1,
1309,eng,You told him that he should have a reward.,4.3,
1310,eng,I don't think you can gain his ear.,3.7,
1311,eng,You ought to thank him.,3.6,
1312,eng,You have only to give him a little help.,4.2,
1313,eng,You ought not to have said a thing like that to him.,4,
1314,eng,You will do well to leave him.,4.6,
1315,eng,Can you swim as fast as he?,2.5,
1316,eng,You had better not keep company with him.,4.6,
1317,eng,You can trust him to keep his word.,4.2,
1318,eng,Do you know who he is?,1.2,
1319,eng,I'm certain of your success.,5,
1320,eng,You should not give him up for lost.,4.6,
1321,eng,You work as hard as he did at your age.,4.8,
1322,eng,Have you ever seen him swimming?,2.1,
1323,eng,Do you think he made that mistake on purpose?,2.3,
1324,eng,What subject do you think he is interested in?,1.4,
1325,eng,You should have told him about it while he was here.,3.4,
1326,eng,Didn't you know that he passed away two years ago?,2.4,
1327,eng,Don't you know that he passed away two years ago?,2.3,
1328,eng,Don't you know that he has been dead for these two years?,2.9,
1329,eng,You should get your hair cut.,4.5,
1330,eng,You must be a fool.,5,
1331,eng,Can you ride a horse?,2.1,
1332,eng,You can't ride a horse.,4.8,
1333,eng,You will progress in proportion to your abilities.,4.2,
1334,eng,You should work hard.,4.1,
1335,eng,You must study hard.,4.6,
1336,eng,You don't have a temperature.,4.8,
1337,eng,You must not come in.,5,
1338,eng,Must you work on Sunday?,2.1,
1339,eng,You don't have to go to school on Sunday.,4.2,
1340,eng,What do you usually do on Sundays?,2,
1341,eng,Are you a Japanese student?,1.6,
1342,eng,Do you keep a diary?,1.8,
1343,eng,Do you know how to cook meat?,1.9,
1344,eng,You could count to ten when you were two.,2.6,
1345,eng,You could count to ten when you were two years old.,2.9,
1346,eng,You are not old enough to go swimming by yourself.,3.9,
1347,eng,You work too hard.,4.5,
1348,eng,You are working too hard. Take it easy for a while.,4.7,
1349,eng,You can't feel at ease with a headache.,4.9,
1350,eng,You are too clever not to solve the hard problem.,2.8,
1351,eng,You know the answer?,3.2,
1352,eng,Do you live here?,1.4,
1353,eng,I take it for granted that you will join.,4.3,
1354,eng,I took it for granted that you were on my side.,2.6,
1355,eng,"You don't go to school on Sunday, do you?",1.2,
1356,eng,You had better study English thoroughly.,3.7,
1357,eng,You may as well leave at once.,4.3,
1358,eng,You must go home at once.,4.6,
1359,eng,It is necessary for you to see a doctor at once.,4.4,
1360,eng,You may as well withdraw from the club right away.,4.6,
1361,eng,Don't you know that you are the laughingstock of the whole town?,4,
1362,eng,You must be a late riser.,4.8,
1363,eng,What do you have for breakfast?,2.3,
1364,eng,Do you have bread for lunch?,2,
1365,eng,How do you account for your being late?,2.1,
1366,eng,"You won't be late, will you?",1.4,
1367,eng,All you have to do is apologize for being late.,4.3,
1368,eng,You must have stayed up late.,4.6,
1369,eng,You must be back on Sunday at the latest.,5,
1370,eng,"Sooner or later, you will regret your idleness.",5,
1371,eng,You'll learn how to do it sooner or later.,4.3,
1372,eng,You ought to be ashamed.,4.6,
1373,eng,You should have refused his request flatly.,4.2,
1374,eng,Who are you waiting for?,2.1,
1375,eng,You must build up your courage.,5,
1376,eng,Whom are you speaking of?,1.7,
1377,eng,You may invite whomever you like.,3.9,
1378,eng,Are you meeting someone here?,1.4,
1379,eng,Your reading is very advanced.,4.7,
1380,eng,Can you tell wheat from barley?,1.3,
1381,eng,You look very pale.,5,
1382,eng,I'm proud of you.,5,
1383,eng,You're running a big risk in trusting him.,4.5,
1384,eng,What do you want to be when you grow up?,1.2,
1385,eng,"Now that you are a big boy, you may do as you please.",3.8,
1386,eng,You may take either the big box or the small one.,3.5,
1387,eng,You look bored.,5,
1388,eng,Do you like to be kept waiting?,1.7,
1389,eng,All you have to do is to take care of yourself.,4.2,
1390,eng,You may have read this book already.,3.1,
1391,eng,You will be up against many difficulties.,3.7,
1392,eng,You mustn't depend on others for help.,4.4,
1393,eng,You are too inquisitive about other people's affairs.,5,
1394,eng,You are too critical of others' shortcomings.,5,
1395,eng,Can you throw a fastball?,1.3,
1396,eng,You depend too much on others.,5,
1397,eng,You have foul breath.,5,
1398,eng,You are too sensitive to noise.,5,
1399,eng,You look tiny next to a sumo wrestler.,5,
1400,eng,You know quite a lot about Sumo.,4.7,
1401,eng,You're giving me the same old line.,5,
1402,eng,You look as healthy as ever.,4.8,
1403,eng,You are to apologize to her for it.,5,
1404,eng,All you have to do is try your best.,4.3,
1405,eng,"You should have locked, or at least closed, all the doors.",3.9,
1406,eng,You never listen. I might as well talk to the wall.,4.8,
1407,eng,You are a good student.,5,
1408,eng,Can't you tell right from wrong?,2.3,
1409,eng,You should distinguish between right and wrong.,4.4,
1410,eng,You would do well to tell it to him in advance.,4.3,
1411,eng,You will have heard this story before.,4.6,
1412,eng,You made the same mistake as last time.,4.9,
1413,eng,Are you for the war or against it?,2.5,
1414,eng,Do you believe war will start?,2.7,
1415,eng,You should follow your teacher's advice.,3.9,
1416,eng,You ought to ask for your teacher's permission.,2.9,
1417,eng,You may as well ask for your teacher's advice.,2.1,
1418,eng,You ran a red light.,5,
1419,eng,You should swear on the Bible.,4.8,
1420,eng,You must cultivate your mind.,4.7,
1421,eng,Can you eat raw oysters?,2.1,
1422,eng,You are made to be a poet.,5,
1423,eng,You seem an honest man.,5,
1424,eng,You seem to be an honest man.,4.7,
1425,eng,You didn't have to dress.,4.3,
1426,eng,You have to get this work finished by noon.,4.4,
1427,eng,I should think you are right.,2.6,
1428,eng,"You may be right, but I am against your opinion.",2.9,
1429,eng,Are you concerned with politics?,1.9,
1430,eng,You can get ahead in the world.,4.6,
1431,eng,He is ignorant of the world.,5,
1432,eng,You will find it stated a few pages further on.,3.9,
1433,eng,Are you fond of swimming?,1.8,
1434,eng,You will soon get used to speaking in public.,3.9,
1435,eng,You must not lose sight of your goal in life.,4.7,
1436,eng,You were kind to help me.,4.1,
1437,eng,Can you break away from your parents?,1.2,
1438,eng,Do you believe in God?,3.3,
1439,eng,"If you study earnestly, you can expect to pass the exam.",4.1,
1440,eng,It's time for you to buy a new car.,5,
1441,eng,It is high time you started a new business.,5,
1442,eng,How thoughtless of you to do that.,4.5,
1443,eng,You can rely on him. He never lets you down.,4.7,
1444,eng,You must clear the table.,5,
1445,eng,Do you wash your hands before meals?,1.3,
1446,eng,I think you'd better go on a diet.,4.7,
1447,eng,"You bought the food, so if I buy the wine that will even things up.",4.1,
1448,eng,You really have a passion for food.,4.7,
1449,eng,You had better not eat too much.,4.6,
1450,eng,You had better be careful not to overeat.,3.9,
1451,eng,You must account for your neglect of duty.,4.9,
1452,eng,You are way off track.,5,
1453,eng,Are you in jest or in earnest?,1.2,
1454,eng,You had better take a little rest.,4.8,
1455,eng,I think you'd better take a rest; you look ill.,4.6,
1456,eng,You're going too far.,5,
1457,eng,What do you want to do in the future?,1.3,
1458,eng,You work hard.,5,
1459,eng,You are free to go out.,5,
1460,eng,You have a way with women.,5,
1461,eng,You are welcome to do anything you like.,4.8,
1462,eng,You should have known better than to take an examination without preparing for it.,3.8,
1463,eng,You should start as early as you can.,4.1,
1464,eng,Did you do your homework by yourself?,2.2,
1465,eng,You are too old not to see the reason.,4.6,
1466,eng,I take it that you are fully acquainted with the facts.,3.7,
1467,eng,You are too negligent of those around you.,4.5,
1468,eng,You won't be in time for school.,4.7,
1469,eng,You should give up drinking.,4.3,
1470,eng,You should not resort to drinking.,4.1,
1471,eng,You should give up drinking and smoking.,4,
1472,eng,You ought not to have spent so much money on your hobby.,3.9,
1473,eng,"You have a light hand, don't you?",2.1,
1474,eng,"Since you like to write letters, why don't you drop her a line?",2.3,
1475,eng,Are you writing a letter?,1.8,
1476,eng,You needn't have gone to the trouble.,3.9,
1477,eng,He looks young. He cannot be older than I.,4.7,
1478,eng,"You are young. I, on the contrary, am very old.",5,
1479,eng,You should pay back your debts.,4.2,
1480,eng,You should pay your debts.,3.8,
1481,eng,You should get your car fixed.,3.7,
1482,eng,You had better have your car washed.,4.6,
1483,eng,You cannot be too careful when driving.,3.6,
1484,eng,You had better not drive a car.,4.4,
1485,eng,Can you drive a car?,2.3,
1486,eng,"You can drive a car, can't you?",1.7,
1487,eng,You don't have to make an apology.,4.3,
1488,eng,You should apologize.,4.1,
1489,eng,Did you actually see the accident?,2.2,
1490,eng,Don't set your failure down to bad luck.,4.6,
1491,eng,You should acknowledge your failure.,4.6,
1492,eng,You must work hard in order not to fail.,4.4,
1493,eng,You should try to form the habit of using your dictionaries.,4.2,
1494,eng,Do you know how to use a dictionary?,3.2,
1495,eng,You should learn how to use your dictionary.,3.3,
1496,eng,You are free to go home.,4.4,
1497,eng,Do you have a room of your own?,1.8,
1498,eng,You should learn to restrain yourself.,4.95,
1499,eng,You should be true to your friends.,4,
1500,eng,You should be ashamed of your ignorance.,5,
1501,eng,What account can you give of your misbehavior?,4.6,
1502,eng,You should try to cut your way.,4.7,
1503,eng,You must cut down on extra expenses in order to live within your means.,5,
1504,eng,You should live up to your principles.,4.7,
1505,eng,You must share your jobs with others.,5,
1506,eng,You should attend to your own business.,5,
1507,eng,You must account for your conduct.,5,
1508,eng,You'll have to answer for your behavior.,5,
1509,eng,You are responsible for what you do.,5,
1510,eng,You should be responsible for your actions.,4.9,
1511,eng,You should be ashamed of your conduct.,5,
1512,eng,You can't afford to neglect your health.,4.8,
1513,eng,You are at liberty to make use of this room in any way you please.,4.5,
1514,eng,You must perform your duty.,5,
1515,eng,You should be more thoughtful of your safety.,4.8,
1516,eng,You should read such books as will benefit you.,4.8,
1517,eng,You are responsible for what you have done.,5,
1518,eng,You should read such books as you consider important.,4.4,
1519,eng,You yourself have to finish it.,4.7,
1520,eng,You must do it yourself.,5,
1521,eng,Are you sure of your facts?,4.5,
1522,eng,You had better take into consideration that you are no longer young.,4.75,
1523,eng,You must admit that you are in the wrong.,5,
1524,eng,You should have introduced yourself.,4.4,
1525,eng,You must control yourself.,5,
1526,eng,You are the next in line for promotion.,4,
1527,eng,You ought to get to work on time.,4.9,
1528,eng,You should look after the children from time to time.,4.6,
1529,eng,There is need for improvement in your handwriting.,4.6,
1530,eng,You write a very good hand.,4.4,
1531,eng,You must face the facts.,5,
1532,eng,You ought to see a dentist.,4.8,
1533,eng,You must employ your capital well.,5,
1534,eng,You may as well prepare for your examination.,3.7,
1535,eng,You should study hard so that you can pass the examination.,5,
1536,eng,You are expected to pass the exam.,5,
1537,eng,Do you take me for a fool?,4.3,
1538,eng,You may laugh at me.,4.1,
1539,eng,You do me wrong.,5,
1540,eng,You can number me among your friends.,5,
1541,eng,What on earth did you take me for?,4.5,
1542,eng,You are the wickedest witty person I know.,5,
1543,eng,You need not have helped my son with his homework.,3.8,
1544,eng,You may use my new car.,4,
1545,eng,You must do as I tell you.,5,
1546,eng,You are to do as I tell you.,5,
1547,eng,Are you for or against my plan?,4.5,
1548,eng,You are welcome to the use of my yacht.,4.8,
1549,eng,You have no claim on me.,5,
1550,eng,I wish you had told me the truth.,4.7,
1551,eng,You should have told me the truth.,4,
1552,eng,"You lied to me, didn't you?",4.6,
1553,eng,I think you had better stay with us.,4.6,
1554,eng,You ought to have come to our party.,4.5,
1555,eng,You insist upon our taking that course of action.,4.85,
1556,eng,You are to stay here until we come back.,5,
1557,eng,All you have to do is to wait for me to return.,4.8,
1558,eng,You don't know how worried I am.,4.3,
1559,eng,You had better do as I suggest.,4.8,
1560,eng,Can you imagine me making a cake?,4.3,
1561,eng,You have only to follow the directions.,5,
1562,eng,You must learn to obey instructions.,5,
1563,eng,You finally succeeded in getting a job.,4.3,sarcrizzm
1564,eng,You are frustrated with your work.,4.8,
1565,eng,You were late for work.,5,accusatory
1566,eng,You should go about your business.,5,accusatory
1567,eng,You'd better knuckle down to work.,4.8,direct
1568,eng,Your hair wants cutting.,4,
1569,eng,You had better take an umbrella with you.,4.1,
1570,eng,All you have to do is wash the dish.,4.4,
1571,eng,Did you call me up last night?,2.8,
1572,eng,You are guilty of murder.,5,
1573,eng,You ought to have come to see me yesterday.,4.5,
1574,eng,Did you go out last night?,2.9,
1575,eng,"You didn't come to school yesterday, did you?",3.4,
1576,eng,You did not come to school yesterday.,4.4,
1577,eng,Did you hear about the fire yesterday?,3.3,
1578,eng,Why were you absent yesterday?,2.7,
1579,eng,I advise you to be careful in making notes for the lecture.,4.6,
1580,eng,All you have to do is do your best.,4,
1581,eng,You should carry out his offer.,4.3,
1582,eng,You must do your best.,4.5,
1583,eng,You should be ready for the worst.,2.4,
1584,eng,You work too hard these days. Aren't you tired?,3.9,
1585,eng,You can get in touch with him at his home tonight.,4.3,
1586,eng,I'm the worst ever.,1,
1587,eng,I don't know how to do that,1.7,
1588,eng,I don't think I know how to do that.,2.1,
1589,eng,I don't know about that.,2,
1590,eng,I'm not good enough to do that.,1.3,
1591,eng,I don't know if I can do this.,1.7,
1592,eng,I'm not strong enough to lift that.,1.6,
1593,eng,I'm pretty strong. I feel like I can lift that.,3.6,
1594,eng,I'm very strong. I can lift that.,4.4,
1595,eng,How is that even possible?,2.5,
1596,eng,I can handle it.,4.5,
1597,eng,I'm the best ever.,5,
1598,eng,Why am I so bad at this?,1.4,
1599,eng,I am so good at this.,4.6,
1600,eng,Nobody can do this better than me.,5,
1601,eng,He's the most handsome person in the world.,5,
1602,eng,He's ugly as hell.,4.7,
1603,eng,She's butt ugly,4.7,
1604,eng,I am so ugly,1.5,
1605,eng,I don't think I'm that attractive though,2,
1606,eng,Don't act like you're not attracted to me,4.9,
1607,eng,I can fight,4.8,
1608,eng,He's a great fighter,4.2,
1609,eng,I'm a terrible fighter,1.35,
1610,eng,I would get destroyed in a fight,1.2,
1611,eng,I would get my ass whooped in a fight,1.1,
1612,eng,I'm smart enought to become a doctor,4.7,
1613,eng,I don't think I have what it takes to become a doctor,2.1,
1614,eng,I don't think she has the discipline to get it done,2.2,
1615,eng,Discipline will check your life for the better,4.1,
1616,eng,Discpline is the key to success,4.5,
1617,eng,If you touch me I will spin the block on your grandma,5,
1618,eng,You better clean up your mess,5,
1619,eng,Can you please clean up your mess finally,4.3,
1620,eng,Boxing just doesn't excite me anymore,1.7,
1621,eng,I want do it but you do?,3.5,
1622,eng,You look happy today.,5,
1623,eng,"You have a little fever today, don't you?",2.9,
1624,eng,It would be better for you to stay in bed today.,4.5,
1625,eng,You look pale today.,5,
1626,eng,You'd better not go out today.,5,
1627,eng,You must not go out today.,4.9,
1628,eng,You had better not see her today.,5,
1629,eng,You look very charming today.,5,
1630,eng,You ought to be on time if you start now.,4.4,
1631,eng,It is necessary for you to start now.,4.6,
1632,eng,You worked a lot this week.,4.3,
1633,eng,You need not have a haircut this week.,4.7,
1634,eng,You're coming with us now.,5,
1635,eng,What are you about now?,2.4,
1636,eng,You will need much more money than you do now.,4.8,
1637,eng,Have you ever seen a kangaroo?,2.3,
1638,eng,Can you get by on your wages?,1.1,
1639,eng,You'd better start now.,5,
1640,eng,It is necessary that you start at once.,4.7,
1641,eng,Are you a senior high school student?,2.6,
1642,eng,You were careless in your action.,4.8,
1643,eng,You had better go.,5,
1644,eng,You are old enough to behave yourself.,4.5,
1645,eng,It is necessary for you to go.,4.5,
1646,eng,You may go or stay at will.,3.8,
1647,eng,You don't have to go to the party unless you want to.,2.9,
1648,eng,You have to go.,5,
1649,eng,It's necessary for you to go.,5,
1650,eng,You'd better not go.,5,
1651,eng,You should make your ideas correspond with reality.,4.2,
1652,eng,You will see a forest of masts in the harbor.,3.5,
1653,eng,Are you happy?,2,
1654,eng,"You are really full of curiosity, aren't you?",4.1,
1655,eng,You are free to do as you please with your money.,3.7,
1656,eng,You've got to learn to hold your tongue.,4.6,
1657,eng,You must do as you are told to do.,5,
1658,eng,It was careless of you to lose the key.,4.3,
